MAE_ln_gamma1,MAE_ln_gamma2,MAE_GE_RT,RMSE_ln_gamma1,RMSE_ln_gamma2,RMSE_GE_RT,bias_GE_RT,max_abs_GE_RT_ct,n_points,solvent1,solvent2,T_K,class1,class2,class_pair,lle_found_ct,lle_x1_phase1,lle_x1_phase2
0.001713569368351093,0.0017014780771856049,0.0009219682088795903,0.0022352055428032794,0.0022845225641009766,0.0009861654921165597,0.0009219682088795903,0.0012293140866260156,19,Pentane,Hexane,298.15,Alkane,Alkane,Alkane + Alkane,False,,
0.0016955795012724925,0.0016836718645343984,0.0009123018847159933,0.002211900074799518,0.0022604341991180692,0.0009758259543030794,0.0009123018847159933,0.0012431696434138395,19,Pentane,Hexane,323.15,Alkane,Alkane,Alkane + Alkane,False,,
0.001680129061586895,0.0016683808485864788,0.0009040031284788207,0.002191887669735486,0.002239747477024718,0.0009669494591350253,0.0009040031284788207,0.0012550642251983283,19,Pentane,Hexane,348.15,Alkane,Alkane,Alkane + Alkane,False,,
0.0016667809197673303,0.001655169259781998,0.0008968322264671879,0.0021745963827919826,0.0022218738963093107,0.0009592794824599224,0.0008968322264671879,0.0012653245428070317,19,Pentane,Hexane,373.15,Alkane,Alkane,Alkane + Alkane,False,,
0.0016551901752245894,0.0016436985131368952,0.0008906063077559267,0.0021595836226980403,0.0022063547846176137,0.0009526202412052244,0.0008906063077559267,0.0012742458056263465,19,Pentane,Hexane,398.15,Alkane,Alkane,Alkane + Alkane,False,,
0.0058266590210635325,0.005750758330371578,0.003126532778920634,0.007513752970143571,0.007819357036357898,0.0033444208414531,0.003126532778920634,0.004256041152467393,19,Pentane,Heptane,298.15,Alkane,Alkane,Alkane + Alkane,False,,
0.005763606576765828,0.005688955459778401,0.0030928000595574386,0.007433507979933408,0.0077340660175804245,0.003308335891113318,0.0030928000595574386,0.004304003048951101,19,Pentane,Heptane,323.15,Alkane,Alkane,Alkane + Alkane,False,,
0.0057094505659401286,0.00563587666277225,0.0030638301904768695,0.007364589549367705,0.007660809632667785,0.00327734595493371,0.0030638301904768695,0.004345206924293704,19,Pentane,Heptane,348.15,Alkane,Alkane,Alkane + Alkane,False,,
0.005662650257803987,0.0055900046390270144,0.0030387922448603644,0.007305034126965458,0.00759749976046222,0.0032505611097093487,0.0030387922448603644,0.004380822283631807,19,Pentane,Heptane,373.15,Alkane,Alkane,Alkane + Alkane,False,,
0.0056220094184260315,0.005550173867781397,0.0030170490114318073,0.007253319504060576,0.007542523515818723,0.0032273027798067804,0.0030170490114318073,0.004411750175184564,19,Pentane,Heptane,398.15,Alkane,Alkane,Alkane + Alkane,False,,
0.011746451854341618,0.01152833064904355,0.006288245162709906,0.014991368625943817,0.015865205275745278,0.006726988933408903,0.006288245162709906,0.008550106698484015,19,Pentane,Octane,298.15,Alkane,Alkane,Alkane + Alkane,False,,
0.011629342028407874,0.011414537094802876,0.006225800687270723,0.014844595828895243,0.015705209265712443,0.006660181741037066,0.006225800687270723,0.008639329680243814,19,Pentane,Octane,323.15,Alkane,Alkane,Alkane + Alkane,False,,
