solvent1,solvent2,T_K,T_C,x1_phase1,x1_phase2
Pentane,Methanol,298.15,25.0,0.08555659,0.98382205
Pentane,Methanol,323.15,50.0,0.11233521,0.95294269
Pentane,Methanol,348.15,75.0,0.15601721,0.88475286
Pentane,Methanol,373.15,100.0,0.23909113,0.74556709
Pentane,Ethanol,298.15,25.0,0.45,0.8
Pentane,Acetonitrile,298.15,25.0,0.02244613,0.9713004
Pentane,Acetonitrile,323.15,50.0,0.03125465,0.95102373
Pentane,Acetonitrile,348.15,75.0,0.04357396,0.92151023
Pentane,Acetonitrile,373.15,100.0,0.06087438,0.8800866
Pentane,Acetonitrile,398.15,125.0,0.08562303,0.82312225
Pentane,DMF,298.15,25.0,0.67344511,0.6749392
Pentane,DMSO,298.15,25.0,0.14976338,0.98676566
Pentane,DMSO,323.15,50.0,0.16863128,0.97625019
Pentane,DMSO,348.15,75.0,0.19344403,0.96019895
Pentane,DMSO,373.15,100.0,0.22566207,0.93651141
Pentane,DMSO,398.15,125.0,0.2679426,0.90194556
Pentane,Acetic acid,298.15,25.0,0.0527262,0.99612186
Pentane,Acetic acid,323.15,50.0,0.07063095,0.98821646
Pentane,Acetic acid,348.15,75.0,0.09599584,0.9701629
Pentane,Acetic acid,373.15,100.0,0.13324348,0.93409279
Pentane,Acetic acid,398.15,125.0,0.19125739,0.86725533
Pentane,Water,298.15,25.0,2.3809,0.99879791
Pentane,Water,323.15,50.0,3.2581,0.99624138
Pentane,Water,348.15,75.0,4.7171,0.99043544
Pentane,Water,373.15,100.0,7.1535,0.97947495
Pentane,Water,398.15,125.0,0.00011191,0.96173772
Hexane,Methanol,298.15,25.0,0.05404689,0.98478187
Hexane,Methanol,323.15,50.0,0.07117786,0.95665845
Hexane,Methanol,348.15,75.0,0.09820087,0.89737297
Hexane,Methanol,373.15,100.0,0.14450142,0.78797698
Hexane,Methanol,398.15,125.0,0.24815844,0.58493328
Hexane,Ethanol,298.15,25.0,0.32054603,0.84914165
Hexane,Acetonitrile,298.15,25.0,0.01273564,0.9709299
Hexane,Acetonitrile,323.15,50.0,0.01821327,0.95078834
Hexane,Acetonitrile,348.15,75.0,0.02596281,0.92198566
Hexane,Acetonitrile,373.15,100.0,0.03687895,0.88251073
Hexane,Acetonitrile,398.15,125.0,0.05235237,0.8300053
Hexane,DMF,298.15,25.0,0.41160168,0.7615776
Hexane,DMSO,298.15,25.0,0.1106277,0.98620102
Hexane,DMSO,323.15,50.0,0.12452952,0.97540592
Hexane,DMSO,348.15,75.0,0.14300224,0.95918352
Hexane,DMSO,373.15,100.0,0.16703145,0.93577846
Hexane,DMSO,398.15,125.0,0.19832591,0.90276741
Hexane,Acetic acid,298.15,25.0,0.03149319,0.99610489
Hexane,Acetic acid,323.15,50.0,0.04308134,0.98829553
Hexane,Acetic acid,348.15,75.0,0.05957125,0.97084034
Hexane,Acetic acid,373.15,100.0,0.08365301,0.93713909
Hexane,Acetic acid,398.15,125.0,0.1201454,0.87828534
Hexane,Water,298.15,25.0,5.9411,0.9987604
Hexane,Water,323.15,50.0,8.5193,0.99612868
Hexane,Water,348.15,75.0,1.303,0.9901663
Hexane,Water,373.15,100.0,2.1011,0.97894776
Hexane,Water,398.15,125.0,3.5097,0.96086688
Heptane,Methanol,298.15,25.0,0.0355848,0.98538171
Heptane,Methanol,323.15,50.0,0.04717625,0.95895627
Heptane,Methanol,348.15,75.0,0.0651673,0.90477503
Heptane,Methanol,373.15,100.0,0.09460974,0.80951256
Heptane,Methanol,398.15,125.0,0.14948685,0.65556135
Heptane,Ethanol,298.15,25.0,0.21737894,0.87458905
Heptane,Ethanol,323.15,50.0,0.35,0.65
Heptane,Acetonitrile,298.15,25.0,0.00751119,0.97028627
Heptane,Acetonitrile,323.15,50.0,0.01105583,0.95004108
Heptane,Acetonitrile,348.15,75.0,0.01615299,0.92148007
Heptane,Acetonitrile,373.15,100.0,0.02340193,0.88301245
Heptane,Acetonitrile,398.15,125.0,0.03368557,0.83298115
Heptane,DMF,298.15,25.0,0.3164327,0.77920687
Heptane,DMSO,298.15,25.0,0.08377291,0.98555885
Heptane,DMSO,323.15,50.0,0.09421157,0.97442827
Heptane,DMSO,348.15,75.0,0.10822983,0.95791513
Heptane,DMSO,373.15,100.0,0.12650438,0.93449924
Heptane,DMSO,398.15,125.0,0.1501949,0.90226259
Heptane,Acetic acid,298.15,25.0,0.01954779,0.99605059
Heptane,Acetic acid,323.15,50.0,0.0273117,0.98824287
Heptane,Acetic acid,348.15,75.0,0.03844401,0.97107682
